Category,Product Name,Product Price,Rating,Discount,Past Details,Image URL,Shipped From,Sold By
Laptops,"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (8GB/256GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021","23,990",3.2 out of 5 stars,(44% off),5K+ bought in past month,https://m.media-amazon.com/images/I/712vCLbaXGL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN","46,490",4.2 out of 5 stars,(29% off),M.R.P:,https://m.media-amazon.com/images/I/71PDI41ZbxL._AC_UL320_.jpg,Amazon,VTM_SLP
Laptops,Highly rated,"31,990",4.0 out of 5 stars,(46% off),100+ bought in past month,https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,More results,"69,490",4.0 out of 5 stars,(27% off),M.R.P:,https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11 SL/Iron Grey/1.65 Kg), Grey","39,990",4.1 out of 5 stars,(32% off),More Buying Choices,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UL320_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","39,490",5.0 out of 5 stars,(42% off),200+ bought in past month,https://m.media-amazon.com/images/I/41U0mEisocL._AC_UY218_.jpg,Amazon,SINCE 2012
Laptops,"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021","35,700",3.7 out of 5 stars,(39% off),M.R.P:,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,Amazon,As.Enterprises....
Laptops,"HP Laptop 255 G9 (2024), AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021","32,990",3.1 out of 5 stars,(53% off),| Based on star rating and number of customer ratings,https://m.media-amazon.com/images/I/61SCc8dH-8L._AC_UY218_.jpg,Amazon,CMPL ONLINE
Laptops,"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/","27,550",4.5 out of 5 stars,(63% off),100+ bought in past month,https://m.media-amazon.com/images/I/71cbbGm02pL._AC_UY218_.jpg,Amazon,GLOBAL WORLD DEALS
Laptops,"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, 15.6-inch(39.6cm), Anti-Glare, FHD Laptop, Intel UHD Graphics, Backlit KB, 720p HD Camera (Win 11, Office 21, Silver, 1.69kg) fq5329TU","28,990",3.8 out of 5 stars,(37% off),M.R.P:,https://m.media-amazon.com/images/I/71-S1RFX3qL._AC_UY218_.jpg,Amazon,GADGETRON
Laptops,"Dell Alienware m18 R1 Gaming Laptop,Intel Core i9-13900HX/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/18.0""(45.72cm) QHD 165Hz/Win 11+MSO'21/15 Month McAfee/Backlit KB per-Key AlienFX/Dark Metallic Moon","46,490",4.2 out of 5 stars,(29% off),100+ bought in past month,https://m.media-amazon.com/images/I/71PDI41ZbxL._AC_UY218_.jpg,Amazon,VTM_SLP
Laptops,"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 PRO) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","3,67,905",3.5 out of 5 stars,(22% off),M.R.P:,https://m.media-amazon.com/images/I/71BxDqP7L5L._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","27,990",3.4 out of 5 stars,(72% off),M.R.P:,https://m.media-amazon.com/images/I/51ICwoX0f2L._AC_UY218_.jpg,Amazon,SellerNow
Laptops,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","39,990",4.1 out of 5 stars,(32% off),200+ bought in past month,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","35,990",3.6 out of 5 stars,(26% off),M.R.P:,https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","38,490",4.0 out of 5 stars,(25% off),50+ bought in past month,https://m.media-amazon.com/images/I/51ksgjS71zL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Win11 Home/16GB RAM/512GB SSD/MS Office) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Backlit Keyboard, Steel Gray, 1.59KG","39,990",3.8 out of 5 stars,(49% off),M.R.P:,https://m.media-amazon.com/images/I/51dfURQWjOL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG","46,990",3.8 out of 5 stars,(37% off),200+ bought in past month,https://m.media-amazon.com/images/I/61C0ewGxKJL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Acer Aspire Lite AMD Ryzen 7-5700U Processor Premium Laptop (16GB RAM/1TB SSD/Win11 Home/AMD Radeon Graphics) AL15-41, 39.62cm (15.6"") Full HD Display, Multi Color Backlit Keyboard, Steel Gray, 1.59KG","49,990",3.9 out of 5 stars,(25% off),M.R.P:,https://m.media-amazon.com/images/I/517m2WrmJxL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","42,990",4.5 out of 5 stars,(40% off),100+ bought in past month,https://m.media-amazon.com/images/I/61C0ewGxKJL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
